cases,R_mean,R_var,Q0.025,Q0.5,Q0.975,Date
196.0,1.0077110458316918,0.0015940444225474412,0.9306768810485063,1.007179729076955,1.0877645795612034,2023-07-14
211.0,1.0071182474616693,0.001589622946473161,0.9305268297855264,1.0065922194632764,1.086742065374291,2023-07-15
222.0,1.006689163433749,0.001587626960583085,0.9304710569271966,1.0061695783959066,1.0865223988038495,2023-07-16
211.0,1.0079973492448808,0.001584699302551053,0.9316637959100746,1.0074555092949609,1.087665642618125,2023-07-17
293.0,1.0387959242241305,0.0012606114561886034,0.9705086377153549,1.0383872379324637,1.1098146152079216,2023-07-18
293.0,1.043120028294018,0.0012562474298650002,0.9748691033754091,1.0427174595625655,1.1135304074314376,2023-07-19
256.0,1.0507755120253637,0.0012538388519301633,0.9826562997253345,1.050380906287298,1.1216344637593603,2023-07-20
256.0,1.0633297489458626,0.0012548156965172933,0.9953195416267431,1.062940389207637,1.1337011263614905,2023-07-21
247.0,1.0831699383896822,0.001260607622439785,1.0146059101777505,1.0827795729677823,1.1540438975467007,2023-07-22
253.0,1.1047369579450568,0.0012672314592428392,1.0360603146364504,1.104359333826077,1.175686996465326,2023-07-23
290.0,1.1262272532253177,0.0012712457079798963,1.0576385653264246,1.1258534153893032,1.1971452629501549,2023-07-24
291.0,1.2225881760459596,0.001161886494732193,1.1565143672883529,1.22226982271807,1.2904626407928794,2023-07-25
287.0,1.1966357394024183,0.0010737709599479197,1.133655504740907,1.1963403627838585,1.2614928088475752,2023-07-26
328.0,1.1707587042746148,0.000997749480298595,1.109650692799411,1.1704731482120705,1.2337610971132942,2023-07-27
377.0,1.145602249850622,0.0009321702433535233,1.0863908511135443,1.1453297350801368,1.206537712754551,2023-07-28
391.0,1.1187988871828805,0.0008756559577825552,1.0619123055349848,1.1185398721014863,1.1775765667506206,2023-07-29
433.0,1.0922086423861646,0.0008267178592613528,1.0366768783189242,1.0919545640730544,1.1493407323806515,2023-07-30
433.0,1.064942587997145,0.0007816564256572441,1.0107968460497805,1.0646970334419747,1.1203066800122672,2023-07-31
409.0,1.0508580756898454,0.0009204964300992165,0.9924207550986335,1.0505699725048188,1.1107421694651425,2023-08-01
409.0,1.045865043662972,0.0009039587508277269,0.987809862280564,1.0455788899738372,1.1053608593281572,2023-08-02
405.0,1.0365652095663185,0.0008843338528273363,0.9792533343154644,1.0362817912595204,1.0955534318229212,2023-08-03
413.0,1.024552349781616,0.0008640368210914555,0.9677803402521463,1.0242698709555635,1.0829842326320074,2023-08-04
392.0,1.0115677548509132,0.0008451787254775932,0.9554244847973916,1.0112891892611677,1.0694769558835437,2023-08-05
411.0,1.0007297970748772,0.0008306072799760267,0.9452585134609626,1.0004568356664147,1.0579254274344942,2023-08-06
400.0,0.9953525698264678,0.0008224590422103436,0.9397007801222177,0.995075290357939,1.0522125398657387,2023-08-07
399.0,0.9994187905511884,0.0008612010731183265,0.9427268906289203,0.9991316224037302,1.0575646653338024,2023-08-08
401.0,1.008436742946094,0.0008703630795290345,0.9514863119095631,1.0081511496927238,1.0667154155348326,2023-08-09
381.0,1.0213173175012396,0.0008844991378836241,0.9642055823357161,1.0210294344820041,1.0803421257669137,2023-08-10
380.0,1.0424140764224283,0.0009005929244288162,0.9844541192339749,1.0421276385432958,1.10173249057755,2023-08-11
371.0,1.0704777030740635,0.0009233047021326965,1.0118073272883206,1.0701908195927072,1.1307809259336563,2023-08-12
363.0,1.1047196068095535,0.0009468247322663909,1.0454001672857043,1.1044388547257298,1.1655797498746308,2023-08-13
369.0,1.142161508127269,0.0009643943714766818,1.0821927022727784,1.1418809489055275,1.2040540071470722,2023-08-14
400.0,1.189895329357642,0.0009024659696877879,1.131869844414186,1.1896450166103314,1.2495468895458341,2023-08-15
397.0,1.188643669485887,0.000863218445263654,1.1317896653922017,1.1883999954048157,1.2472514835014814,2023-08-16
388.0,1.1947455465455123,0.0008293801327284305,1.1388062755321544,1.1945131767930643,1.2518680139519773,2023-08-17
392.0,1.2111917960077436,0.0008052571892985673,1.1564066824458918,1.210969642293563,1.2674478265115623,2023-08-18
420.0,1.23995621287836,0.0007894799781016512,1.1856851689267867,1.2397438802290068,1.2957106933065767,2023-08-19
436.0,1.276567904671029,0.0007756771850172643,1.2226544038962506,1.2763662162830007,1.3317751028068026,2023-08-20
489.0,1.313745737566462,0.0007588990631055145,1.260610435328971,1.313555430726315,1.36822500953342,2023-08-21
528.0,1.3937022300672601,0.000778279794242061,1.3392550454750727,1.3935140063563374,1.4492190690278575,2023-08-22
529.0,1.3437607340236157,0.0006822467656343239,1.293081001921908,1.3435917129872468,1.3954009941725052,2023-08-23
527.0,1.2975481221214122,0.000605748717525027,1.2499424284759955,1.2973937514932619,1.346031087374401,2023-08-24
524.0,1.2598391867806717,0.0005457380836748555,1.2145801907718705,1.2596955392743683,1.305940151123485,2023-08-25
557.0,1.232047553477062,0.0004984092619037307,1.1885268358952712,1.2319110460666112,1.2763715562854077,2023-08-26
616.0,1.2077314306490994,0.00046045475539266065,1.1660610173504005,1.2076049764136596,1.2503596043584095,2023-08-27
710.0,1.183981252656296,0.0004288471074027462,1.1438862491365103,1.1838608800578119,1.2250255308042788,2023-08-28
729.0,1.2607488032031726,0.0005220466378367532,1.21636083616873,1.2606110539783004,1.30587639478412,2023-08-29
724.0,1.2061046200628303,0.0004654289269951791,1.164256714253985,1.2059767967288706,1.2486275755255478,2023-08-30
921.0,1.1448003932113537,0.0004156626072144211,1.1052113378876811,1.1446796329503064,1.1850576946516815,2023-08-31
924.0,1.0761072836762409,0.00037231269521619627,1.0385210762330113,1.0759909273747312,1.1144019539756544,2023-09-01
806.0,1.0023361099181582,0.00033466812599164636,0.9669619406732135,1.002224331569686,1.0383756123294563,2023-09-02
775.0,0.9323361377264776,0.0003044373985286239,0.8985217031444492,0.9322277678087767,0.966816629609639,2023-09-03
869.0,0.8714338634933914,0.00028322421958035476,0.8388043814927484,0.8713265932944756,0.9046792622523407,2023-09-04
1026.0,0.8721222933351362,0.0003506037735199371,0.8357599472921439,0.8719877619388752,0.9092002764558393,2023-09-05
1029.0,0.869792612077924,0.00036089639520283783,0.8329499843838764,0.8696538861471019,0.9074739327818273,2023-09-06
1024.0,0.8644904590890663,0.0003708140178643966,0.8272416039256285,0.864348141356427,0.9026432058840488,2023-09-07
1026.0,0.8541323036308854,0.00037931162350325913,0.8163568954117626,0.8539837301934392,0.8928159793334913,2023-09-08
