"","County","Date","Q0.025","Q0.5","Q0.975","Date_per"
"1","Contra Costa",2024-05-14,1.05189140100174,1.2397131135255,1.44866798176501,2024-05-21
"2","Contra Costa",2024-05-15,1.07410837179858,1.26119393241973,1.46884054271164,2024-05-22
"3","Contra Costa",2024-05-16,1.09996851808476,1.28625026107859,1.49246635646306,2024-05-23
"4","Contra Costa",2024-05-17,1.12548447704208,1.31059029719647,1.51496164107398,2024-05-24
"5","Contra Costa",2024-05-18,1.16210361760369,1.34655716082962,1.54957003816746,2024-05-25
"6","Contra Costa",2024-05-19,1.18816382998964,1.37076853771067,1.57119060577762,2024-05-26
"7","Contra Costa",2024-05-20,1.20824329205895,1.38818860310493,1.58517313029508,2024-05-27
"8","Contra Costa",2024-05-21,1.1883438761649,1.36252289512247,1.55294558581589,2024-05-28
"9","Contra Costa",2024-05-22,1.17273040956888,1.34148391206801,1.52570049940929,2024-05-29
"10","Contra Costa",2024-05-23,1.11325436301872,1.27379296566913,1.44907207476577,2024-05-30
"11","Contra Costa",2024-05-24,1.05203681328615,1.20468108861994,1.37142345943668,2024-05-31
"12","Contra Costa",2024-05-25,0.97077949931555,1.11472135112711,1.27223581025482,2024-06-01
"13","Contra Costa",2024-05-26,0.899291235707927,1.03587852590482,1.18564394040722,2024-06-02
"14","Contra Costa",2024-05-27,0.839767210893057,0.97056926005257,1.1142981679217,2024-06-03
"15","Contra Costa",2024-05-28,0.830114955297259,0.959579679113578,1.10185475770148,2024-06-04
"16","Contra Costa",2024-05-29,0.815635104143377,0.943935541774739,1.08503511097207,2024-06-05
"17","Contra Costa",2024-05-30,0.81710668705615,0.945751867055294,1.08724133971231,2024-06-06
"18","Contra Costa",2024-05-31,0.820275777955383,0.949577257466622,1.09180353633094,2024-06-07
"19","Contra Costa",2024-06-01,0.861704333244976,0.994644921143604,1.14060442983524,2024-06-08
"20","Contra Costa",2024-06-02,0.904637023117485,1.04121092617049,1.19088614128661,2024-06-09
"21","Contra Costa",2024-06-03,0.944061122725041,1.08365324420252,1.23637297771231,2024-06-10
"22","Contra Costa",2024-06-04,0.958584352333393,1.09895963151093,1.25241477206278,2024-06-11
"23","Contra Costa",2024-06-05,0.967108149508004,1.1074598113881,1.26077688483021,2024-06-12
"24","Contra Costa",2024-06-06,0.982407463434407,1.12298109957886,1.27636658339748,2024-06-13
"25","Contra Costa",2024-06-07,1.02822619101831,1.17094227810071,1.32629183081687,2024-06-14
"26","Contra Costa",2024-06-08,1.08469410502843,1.22992674367991,1.38757988694616,2024-06-15
"27","Contra Costa",2024-06-09,1.14989119458898,1.29763162704227,1.45751663128895,2024-06-16
"28","Contra Costa",2024-06-10,1.18541252081473,1.33312090580619,1.49261891369218,2024-06-17
"29","Contra Costa",2024-06-11,1.16708234896743,1.31092397684306,1.46612639623712,2024-06-18
"30","Contra Costa",2024-06-12,1.13121810058778,1.26993486946797,1.41955438805391,2024-06-19
"31","Contra Costa",2024-06-13,1.10304949480492,1.23727227081288,1.38196653450869,2024-06-20
"32","Contra Costa",2024-06-14,1.05939900486186,1.18853201675504,1.32775611345986,2024-06-21
"33","Contra Costa",2024-06-15,0.98900297919143,1.1117846947949,1.2443318165055,2024-06-22
"34","Contra Costa",2024-06-16,0.925354535849979,1.04259491182101,1.16934407506324,2024-06-23
"35","Contra Costa",2024-06-17,0.893248518575316,1.00741490077077,1.13091886048908,2024-06-24
"36","Contra Costa",2024-06-18,0.930944792215599,1.04685667354218,1.17201348964577,2024-06-25
