cases,R_mean,R_var,Q0.025,Q0.5,Q0.975,Date
322.0,1.041949981594408,0.0010617248168782538,0.9789408759849145,1.0416116099036206,1.1069559595602678,2023-07-13
322.0,1.0440788197729982,0.0010532141384878783,0.981495561790575,1.0437432775052633,1.108687720819622,2023-07-14
327.0,1.0439236753009382,0.0010443979987320487,0.9814938665671951,1.0435941549983192,1.1082299309374126,2023-07-15
332.0,1.0446934830035186,0.0010352480382985042,0.9821668742243893,1.04436304379306,1.1083529768583398,2023-07-16
355.0,1.0588902543744154,0.0009972714705557028,0.997894754883633,1.058577404901073,1.1215636891674516,2023-07-17
353.0,1.0593192542433854,0.000984813283637608,0.9984649103389305,1.0590069593237792,1.1218070793280166,2023-07-18
356.0,1.0601863848367468,0.0009706515843745589,0.9999801702007911,1.0598763751384421,1.1222286979085228,2023-07-19
352.0,1.0633607978318733,0.0009598415001411018,1.0033231424507785,1.063058489836735,1.1251576202285214,2023-07-20
347.0,1.0713537326892077,0.0009510039182133165,1.011529036963256,1.071058203620785,1.1322796571021456,2023-07-21
350.0,1.0778202072828198,0.0009435779768716086,1.0183408019033156,1.0775257040995545,1.1386017207582033,2023-07-22
353.0,1.086201607520841,0.0009356195086594809,1.0270673761338658,1.085911904761041,1.1472004473419846,2023-07-23
385.0,1.1144102413943666,0.0009332937051523549,1.0553098312794522,1.1141313975138547,1.1750522274204944,2023-07-24
377.0,1.112472441316451,0.0009080522091993264,1.0540773663141199,1.1122010019089126,1.17236705652958,2023-07-25
377.0,1.1117758842981726,0.0008828478996139432,1.0542035520981776,1.111510370595162,1.1709386363123242,2023-07-26
390.0,1.1130676244610451,0.0008588345051907741,1.056215971075906,1.1128101026738624,1.1716218072949798,2023-07-27
393.0,1.1168512673479445,0.0008395790253679098,1.0609816748120244,1.1166034171309862,1.1740336814372638,2023-07-28
397.0,1.1220923950944568,0.0008234987750493129,1.0669108596242372,1.1218491614635466,1.1787036925403658,2023-07-29
423.0,1.1316413832995893,0.0008083522728257724,1.0768026811913414,1.1314031849819197,1.1881792133291746,2023-07-30
472.0,1.1783234783355754,0.000819442416316266,1.1227822203465787,1.1780908516746484,1.2351867245800847,2023-07-31
472.0,1.169928079196949,0.0007802838996886175,1.1159318639888571,1.1697073839281362,1.2252757705645991,2023-08-01
456.0,1.1638355567676246,0.0007431921602930563,1.110793025803573,1.1636205209438657,1.2179828439916078,2023-08-02
444.0,1.1608434080897096,0.0007117599857030247,1.1090095240755216,1.1606389393055672,1.213649043263843,2023-08-03
463.0,1.1591541381087613,0.0006852648002877945,1.1086576205936391,1.158958063724989,1.2110328920133138,2023-08-04
485.0,1.156553900193447,0.0006591959487739505,1.1064691904836463,1.1563598482026043,1.2075241083334936,2023-08-05
492.0,1.1515931893250966,0.0006336641845410699,1.102797924776156,1.151409921396621,1.2014591803894494,2023-08-06
526.0,1.18364283084269,0.0006615818525099225,1.133725598895166,1.1834571359834876,1.2347720744245638,2023-08-07
583.0,1.162189499457266,0.0006201569892807421,1.113896250833649,1.162011656342097,1.2114986337706852,2023-08-08
634.0,1.1351106182048518,0.0005810684006148884,1.0883445902449371,1.1349403875842574,1.1827843203756037,2023-08-09
639.0,1.1030856666870412,0.0005436679135010236,1.0579945812519638,1.1029213028028813,1.1492773105653753,2023-08-10
662.0,1.0651245694209397,0.0005079661955370375,1.0214062024025725,1.0649663108440581,1.1097988404727848,2023-08-11
685.0,1.0279342576706316,0.00047807893647343986,0.9855784574898925,1.027778197381028,1.0713322211261893,2023-08-12
712.0,0.9949230334375737,0.0004549377957315286,0.9535767538823268,0.9947713170120326,1.0371223075343723,2023-08-13
736.0,0.9803051537505736,0.0004852344042045434,0.9375844297193809,0.9801400361640554,1.023963323146959,2023-08-14
740.0,0.9812025935190476,0.0004886049117032488,0.9383700068604601,0.9810367479891708,1.0250281475149312,2023-08-15
736.0,0.9821109638614598,0.0004913840227493181,0.9391678832965382,0.981944077463254,1.0260448250152607,2023-08-16
685.0,0.9832200104935768,0.0004947514768375565,0.9401696114533589,0.983052840198267,1.0272313642578408,2023-08-17
642.0,0.9867655274442464,0.000499105484735514,0.9434514083579024,0.9865968679060563,1.031106356045096,2023-08-18
610.0,0.9948469212768263,0.0005052810587742472,0.9512343613881072,0.994677322698946,1.0394274074383092,2023-08-19
601.0,1.0059484201348485,0.0005125802188224423,0.9619934470872491,1.0057785014620775,1.0508129020419088,2023-08-20
610.0,1.0416037861976255,0.000514015787323207,0.9976787268581632,1.0414396080295578,1.0863610056870177,2023-08-21
610.0,1.0426127621935795,0.0005096844707659506,0.9989218139490608,1.042450711579368,1.087284980650964,2023-08-22
610.0,1.0453194484640957,0.0005059108816022856,1.0016665034815357,1.045158443206831,1.08981634850393,2023-08-23
646.0,1.049506692024007,0.0005021384602326238,1.0061236078240177,1.0493478179355376,1.093792639400323,2023-08-24
683.0,1.0515416067364494,0.000497221574563222,1.0082045768298231,1.051383386310619,1.095787468374605,2023-08-25
