"","County","Date","Q0.025","Q0.5","Q0.975","Date_per"
"1","San Joaquin",2024-02-20,0.794791821314103,0.935482899927344,1.0918748372307,2024-02-27
"2","San Joaquin",2024-02-21,0.801095075448958,0.943052932123788,1.10086899241009,2024-02-28
"3","San Joaquin",2024-02-22,0.835238844583898,0.980838328693174,1.14245193697264,2024-02-29
"4","San Joaquin",2024-02-23,0.876627075774209,1.02632739471982,1.19217455397439,2024-03-01
"5","San Joaquin",2024-02-24,0.914930033525817,1.06810600472272,1.23749588449031,2024-03-02
"6","San Joaquin",2024-02-25,0.959500741800044,1.11615782543248,1.2890065863515,2024-03-03
"7","San Joaquin",2024-02-26,0.998076766089988,1.15717562899123,1.33234812126209,2024-03-04
"8","San Joaquin",2024-02-27,0.993907280413872,1.15158179730537,1.32511332252933,2024-03-05
"9","San Joaquin",2024-02-28,0.974065495924683,1.12874255637097,1.29898957725656,2024-03-06
"10","San Joaquin",2024-02-29,0.91697969416339,1.06569912456747,1.22969263263559,2024-03-07
"11","San Joaquin",2024-03-01,0.84881328079698,0.99082327832095,1.1478555228081,2024-03-08
"12","San Joaquin",2024-03-02,0.787905032710053,0.924151924748307,1.07527034240927,2024-03-09
"13","San Joaquin",2024-03-03,0.73175968677421,0.863100621208409,1.00929251983926,2024-03-10
"14","San Joaquin",2024-03-04,0.682105606467688,0.809541012896458,0.951942259698766,2024-03-11
"15","San Joaquin",2024-03-05,0.657188346116907,0.783417409747732,0.92486330762786,2024-03-12
"16","San Joaquin",2024-03-06,0.644537857540867,0.771169195465874,0.91339476780145,2024-03-13
"17","San Joaquin",2024-03-07,0.653416347324925,0.782873175928227,0.928398584966968,2024-03-14
"18","San Joaquin",2024-03-08,0.668294941647562,0.80140974082189,0.951130565602022,2024-03-15
"19","San Joaquin",2024-03-09,0.679189190015607,0.815653933072614,0.969282283100856,2024-03-16
"20","San Joaquin",2024-03-10,0.68307762255137,0.82216513133535,0.978966749380505,2024-03-17
"21","San Joaquin",2024-03-11,0.680796354975879,0.821816411477736,0.981088343709934,2024-03-18
"22","San Joaquin",2024-03-12,0.672319527246486,0.814586009739645,0.975637992586638,2024-03-19
"23","San Joaquin",2024-03-13,0.657813203153867,0.800678533633269,0.962874005741165,2024-03-20
"24","San Joaquin",2024-03-14,0.64744855918159,0.791385232452791,0.955227300582097,2024-03-21
"25","San Joaquin",2024-03-15,0.642020991421312,0.7876739055149,0.953854811700385,2024-03-22
"26","San Joaquin",2024-03-16,0.641822514738023,0.78989560602762,0.959167436325392,2024-03-23
"27","San Joaquin",2024-03-17,0.645505116621151,0.796539681582306,0.969482799596982,2024-03-24
"28","San Joaquin",2024-03-18,0.652939658181143,0.807425515952657,0.984554453300985,2024-03-25
"29","San Joaquin",2024-03-19,0.664021120858377,0.822392285203946,1.00414980221958,2024-03-26
"30","San Joaquin",2024-03-20,0.67864534727164,0.841272189817781,1.02801983852649,2024-03-27
"31","San Joaquin",2024-03-21,0.690510796557483,0.856972554007973,1.04826156523817,2024-03-28
"32","San Joaquin",2024-03-22,0.69908843040159,0.868845652686092,1.06409315723156,2024-03-29
"33","San Joaquin",2024-03-23,0.705944807124804,0.878632814288878,1.07742917310467,2024-03-30
"34","San Joaquin",2024-03-24,0.712996634214558,0.888495958218237,1.09068222230318,2024-03-31
"35","San Joaquin",2024-03-25,0.720509050128775,0.898749910731999,1.1042212786276,2024-04-01
"36","San Joaquin",2024-03-26,0.715849732561574,0.895247636496957,1.10238454759184,2024-04-02
"37","San Joaquin",2024-03-27,0.710775323754877,0.891165989201843,1.09977795465484,2024-04-03
"38","San Joaquin",2024-03-28,0.693490988752414,0.873338826698655,1.08189196802425,2024-04-04
"39","San Joaquin",2024-03-29,0.67626312056419,0.855584766931476,1.06412238099444,2024-04-05
"40","San Joaquin",2024-03-30,0.659488597678195,0.838462904706218,1.04722765377751,2024-04-06
"41","San Joaquin",2024-03-31,0.642544929774998,0.821316810282428,1.03053650604293,2024-04-07
"42","San Joaquin",2024-04-01,0.62621703262906,0.805052186623242,1.01508634285263,2024-04-08
"43","San Joaquin",2024-04-02,0.638191450724381,0.821217472623227,1.03629782719136,2024-04-09
"44","San Joaquin",2024-04-03,0.655996527151562,0.844258124309778,1.06551181623983,2024-04-10
"45","San Joaquin",2024-04-04,0.703809342057313,0.90138978890513,1.13290045606411,2024-04-11
"46","San Joaquin",2024-04-05,0.755848579430056,0.962950874916063,1.20483205525343,2024-04-12
"47","San Joaquin",2024-04-06,0.804779245346895,1.02022587362013,1.27108518576393,2024-04-13
"48","San Joaquin",2024-04-07,0.848446379241679,1.07057315610352,1.32846541316022,2024-04-14
"49","San Joaquin",2024-04-08,0.885719311168967,1.11269024859639,1.37548893058859,2024-04-15
"50","San Joaquin",2024-04-09,0.909242912760933,1.13841536712824,1.40321189763057,2024-04-16
"51","San Joaquin",2024-04-10,0.92153667203124,1.1507831137367,1.41523424317826,2024-04-17
"52","San Joaquin",2024-04-11,0.921586602877077,1.14893236098442,1.41092025549892,2024-04-18
"53","San Joaquin",2024-04-12,0.918216144301311,1.14299879107483,1.40178962474917,2024-04-19
"54","San Joaquin",2024-04-13,0.914033807533246,1.13610598600431,1.39154075600477,2024-04-20
"55","San Joaquin",2024-04-14,0.913539409051735,1.13338371819548,1.38596405132271,2024-04-21
"56","San Joaquin",2024-04-15,0.91321369417275,1.13092887698321,1.38078136419172,2024-04-22
"57","San Joaquin",2024-04-16,0.904640760917472,1.11934758999002,1.36561564373176,2024-04-23
