"","County","Date","Q0.025","Q0.5","Q0.975","Date_per"
"1","San Diego",2024-07-16,1.07954943002946,1.14017583053636,1.20303068635116,2024-07-23
"2","San Diego",2024-07-17,1.0671797397047,1.12679218118898,1.18858434383,2024-07-24
"3","San Diego",2024-07-18,1.05481507364644,1.11348004503529,1.17428091245501,2024-07-25
"4","San Diego",2024-07-19,1.0424599587424,1.10024146626711,1.16011970800855,2024-07-26
"5","San Diego",2024-07-20,1.03011443869928,1.0870740457635,1.14609566960467,2024-07-27
"6","San Diego",2024-07-21,1.01777477488947,1.07397167349694,1.13220012322235,2024-07-28
"7","San Diego",2024-07-22,1.0054341900063,1.06092530032121,1.11842158116223,2024-07-29
"8","San Diego",2024-07-23,0.993083629268989,1.04792372376588,1.10474655196107,2024-07-30
"9","San Diego",2024-07-24,0.980712515364817,1.03495436397311,1.09116033687109,2024-07-31
"10","San Diego",2024-07-25,0.968309475513625,1.02200400817656,1.07764779134046,2024-08-01
"11","San Diego",2024-07-26,0.95586302190173,1.0090595050534,1.06419403293011,2024-08-02
"12","San Diego",2024-07-27,0.943362170140421,0.99610839375903,1.05078508065039,2024-08-03
"13","San Diego",2024-07-28,0.93079698421058,0.983139456330308,1.03740841464676,2024-08-04
"14","San Diego",2024-07-29,0.91815904038721,0.970143186242643,1.02405344932944,2024-08-05
"15","San Diego",2024-07-30,0.905441806706606,0.957112170036148,1.01071191723346,2024-08-06
"16","San Diego",2024-07-31,0.892640938449702,0.944041382889706,0.997378164910901,2024-08-07
"17","San Diego",2024-08-01,0.879754493678444,0.930928402626458,0.984049365803347,2024-08-08
"18","San Diego",2024-08-02,0.866783075906456,0.917773549706978,0.970725658143015,2024-08-09
"19","San Diego",2024-08-03,0.853729913366771,0.904579963161593,0.957410218339458,2024-08-10
"20","San Diego",2024-08-04,0.840600885951385,0.891353624023525,0.9441092819163,2024-08-11
"21","San Diego",2024-08-05,0.827404511674388,0.878103338584079,0.930832124803483,2024-08-12
"22","San Diego",2024-08-06,0.814151904433617,0.864840693681273,0.917591017646235,2024-08-13
"23","San Diego",2024-08-07,0.800856713941882,0.85157999528125,0.904401164789855,2024-08-14
"24","San Diego",2024-08-08,0.787535057040713,0.838338199890998,0.891280637813512,2024-08-15
"25","San Diego",2024-08-09,0.774205447313036,0.825134845967705,0.878250311033275,2024-08-16
"26","San Diego",2024-08-10,0.760888727132526,0.811991989621364,0.865333803432056,2024-08-17
"27","San Diego",2024-08-11,0.747608003217456,0.798934145734711,0.852557428194059,2024-08-18
"28","San Diego",2024-08-12,0.734388583616701,0.785988232369976,0.83995014764639,2024-08-19
"29","San Diego",2024-08-13,0.721257911085057,0.773183513236733,0.827543528183131,2024-08-20
"30","San Diego",2024-08-14,0.70824548525295,0.760551530309873,0.815371686919807,2024-08-21
"31","San Diego",2024-08-15,0.695382764101222,0.748126016653748,0.803471219643879,2024-08-22
"32","San Diego",2024-08-16,0.682703034226084,0.735942778342848,0.791881098308363,2024-08-23
"33","San Diego",2024-08-17,0.670241239381684,0.724039534235243,0.780642526030302,2024-08-24
"34","San Diego",2024-08-18,0.658033757903227,0.712455703343894,0.769798738400984,2024-08-25
"35","San Diego",2024-08-19,0.646118121832964,0.701232131660481,0.759394741895441,2024-08-26
"36","San Diego",2024-08-20,0.634532673779438,0.69041075340914,0.749476983184951,2024-08-27
"37","San Diego",2024-08-21,0.623316161514358,0.680034185627935,0.740092947000332,2024-08-28
