cases,R_mean,R_var,Q0.025,Q0.5,Q0.975,Date
345.0,1.019830612744756,0.0009976138349219463,0.9589002938714241,1.0195073268229948,1.082490176629904,2023-07-12
347.0,1.0156785738948724,0.000988055330617463,0.9546544372120108,1.0153501987955906,1.0785633133355252,2023-07-13
344.0,1.0108793213083556,0.0009797186072806798,0.9508608780089404,1.0105611767457532,1.0730917342254203,2023-07-14
346.0,1.007435886475116,0.0009716231863604774,0.9471457013883469,1.0071139418988637,1.0693392963782167,2023-07-15
355.0,1.003162620933223,0.000958108024036638,0.9432150145352607,1.0028422190713677,1.0649310226624138,2023-07-16
346.0,1.0053623184513882,0.0009602298282384736,0.9455432007589576,1.005045164641439,1.0670282545397929,2023-07-17
351.0,1.0076152627191801,0.0009620330676561843,0.9476392667307397,1.0072960134390063,1.0693846618205944,2023-07-18
352.0,1.0108398454121272,0.0009656868173048929,0.9508195793752443,1.0105217822103332,1.072610529133311,2023-07-19
348.0,1.0166280529575538,0.0009684108318551707,0.9561927796799881,1.0163069053606464,1.0787668087396514,2023-07-20
351.0,1.02348788329423,0.0009725239121041714,0.9635618919324782,1.0231777985669297,1.0852289856811033,2023-07-21
347.0,1.0302407711935895,0.0009742901798753244,0.9698745609773608,1.0299244294829308,1.0923348665805337,2023-07-22
354.0,1.0394106009616673,0.0009640592987052938,0.9794876848829447,1.039103852649545,1.1009333179325325,2023-07-23
354.0,1.0422965857301194,0.0009593259770455185,0.9825863715589915,1.0419917565044545,1.1038883506879165,2023-07-24
348.0,1.047084340540362,0.0009559193062332798,0.9874365020621347,1.0467793774011354,1.108451935027274,2023-07-25
346.0,1.0565628327304568,0.0009540451901005997,0.996796987757105,1.0562622603202922,1.118367631088069,2023-07-26
350.0,1.072018368442067,0.0009558783877378624,1.0124151896653073,1.0717222914050937,1.133611175757938,2023-07-27
345.0,1.0914332056552376,0.0009624789492420651,1.0314594682238072,1.091134609294122,1.153393138380335,2023-07-28
364.0,1.113971518564683,0.0009652642960153898,1.0538769443784872,1.113683638094166,1.175887727043937,2023-07-29
387.0,1.1661624833782849,0.000900801393132196,1.1080556851687762,1.1659070115855557,1.2254805518412093,2023-07-30
409.0,1.1582355357483718,0.0008602056504815707,1.1016861902938637,1.1579899911013871,1.2161422685226038,2023-07-31
403.0,1.1499898504045114,0.0008208314201528426,1.0947435975541628,1.1497516542097972,1.206848270898572,2023-08-01
405.0,1.1429904665570965,0.0007858216392896382,1.0887400272272258,1.142761277672526,1.1986331934830945,2023-08-02
410.0,1.1378653662127267,0.0007543687063359383,1.084612128729864,1.1376451192968386,1.19244492154459,2023-08-03
408.0,1.131094504572515,0.0007250512784514024,1.0790376458449482,1.1308809086564326,1.1844656004462668,2023-08-04
455.0,1.1223984747907694,0.0006966006817804338,1.071237647813028,1.1221923318875828,1.1746372582160414,2023-08-05
523.0,1.139922189281528,0.0007040639963171709,1.0889505360101508,1.139717041291271,1.192458516152459,2023-08-06
562.0,1.128589477569197,0.0006733858085091386,1.0782626535617474,1.1283882212796894,1.1802261284497655,2023-08-07
613.0,1.1146505275333576,0.0006430162366924802,1.0654930134803815,1.1144578386675157,1.1650814461954435,2023-08-08
615.0,1.0973214429884925,0.000612322561163044,1.0493480898905863,1.0971354080481166,1.1463520105327198,2023-08-09
549.0,1.0772429971122304,0.0005848050979197009,1.0304290399496185,1.0770613143440517,1.124811667984529,2023-08-10
544.0,1.0594177248192571,0.0005620596234345403,1.0134113014169825,1.059242310810215,1.1064201156476987,2023-08-11
559.0,1.0457752825456246,0.0005442413594978464,1.0006564757556757,1.0456026074162827,1.0916023515549187,2023-08-12
648.0,1.055277293134326,0.0005478419858185742,1.0098914561100294,1.0551036339132698,1.1014988125578653,2023-08-13
643.0,1.0524668069589471,0.0005394178629685479,1.0075097710432108,1.0522959898792874,1.0984683572186569,2023-08-14
625.0,1.0507383284671152,0.0005301786261546896,1.0057959954999225,1.0505679032821984,1.096442881380407,2023-08-15
625.0,1.048619059918626,0.000522059315986749,1.004257167945898,1.0484527758545235,1.0939433344023088,2023-08-16
617.0,1.0421073362533424,0.0005128871101641624,0.9981693910489955,1.0419438014188633,1.0869073634717628,2023-08-17
614.0,1.0306626401045338,0.0005011994896763724,0.9873223875252544,1.0305017014336415,1.0751349301350266,2023-08-18
678.0,1.0149871586257881,0.000488069566932031,0.9719306903474871,1.014824624370199,1.0586706331353486,2023-08-19
710.0,0.9990841225978639,0.0004943576897839435,0.9558562278568483,0.9989182567645664,1.0432432142584083,2023-08-20
707.0,0.9897972810858549,0.0004889926686138717,0.9469261173425931,0.9896326085714591,1.0336346101339533,2023-08-21
