"","County","Date","Q0.025","Q0.5","Q0.975","Date_per"
"1","Solano",2023-08-01,0.889328842967204,1.06863811720655,1.2705736012235,2023-08-01
"2","Solano",2023-08-02,0.889749482049958,1.0682333347672,1.26913173181382,2023-08-02
"3","Solano",2023-08-03,0.886686650205634,1.06401688463307,1.26355326426784,2023-08-03
"4","Solano",2023-08-04,0.874619178323947,1.04994421673956,1.24727250408667,2023-08-04
"5","Solano",2023-08-05,0.877217383841894,1.05202864403848,1.24865719225687,2023-08-05
"6","Solano",2023-08-06,0.876283528554229,1.0503366020196,1.24604534956243,2023-08-06
"7","Solano",2023-08-07,0.855902384626721,1.02735171990462,1.22030330171811,2023-08-07
"8","Solano",2023-08-08,0.874907221270869,1.04763259662355,1.24172568130885,2023-08-08
"9","Solano",2023-08-09,0.94080581964559,1.11925964753495,1.31897310077001,2023-08-09
"10","Solano",2023-08-10,0.99300780193992,1.17548491274345,1.37905961879073,2023-08-10
"11","Solano",2023-08-11,0.994340964419114,1.17559061398092,1.37763625359022,2023-08-11
"12","Solano",2023-08-12,0.978387363469556,1.15635166207291,1.35469414500231,2023-08-12
"13","Solano",2023-08-13,0.955936644151304,1.12992495616739,1.32384784350451,2023-08-13
"14","Solano",2023-08-14,0.971115883184069,1.14457410516182,1.3375556815419,2023-08-14
"15","Solano",2023-08-15,0.953565083823714,1.12379490641735,1.31317475641868,2023-08-15
"16","Solano",2023-08-16,0.92395141762568,1.08995336369674,1.27474315400098,2023-08-16
"17","Solano",2023-08-17,0.890479867564693,1.05211321721536,1.23221789012051,2023-08-17
"18","Solano",2023-08-18,0.881646336552309,1.04141011785261,1.21940284494284,2023-08-18
"19","Solano",2023-08-19,0.875866901315569,1.03436562666403,1.21092548384597,2023-08-19
"20","Solano",2023-08-20,0.89948231436102,1.05947863533195,1.23741235047825,2023-08-20
"21","Solano",2023-08-21,0.918173109491005,1.07926589166378,1.25818553912132,2023-08-21
"22","Solano",2023-08-22,0.970908519365387,1.13577219516059,1.31832288452162,2023-08-22
"23","Solano",2023-08-23,0.944223552063833,1.10593389684197,1.2851343826351,2023-08-23
"24","Solano",2023-08-24,0.9565714012335,1.11806020146098,1.29677873672996,2023-08-24
"25","Solano",2023-08-25,0.963920771207073,1.12476735211025,1.30258654501202,2023-08-25
"26","Solano",2023-08-26,0.954293515219597,1.1130564288661,1.28852439607585,2023-08-26
"27","Solano",2023-08-27,0.944106462320221,1.10072072856154,1.27376872887008,2023-08-27
"28","Solano",2023-08-28,0.942180124788138,1.09739467697301,1.2687891168155,2023-08-28
"29","Solano",2023-08-29,0.89638497862002,1.04675719872014,1.21307686318183,2023-08-29
"30","Solano",2023-08-30,0.903244427164753,1.05320761555405,1.21891933981167,2023-08-30
"31","Solano",2023-08-31,0.887242001591349,1.0352194837487,1.19880421716391,2023-08-31
"32","Solano",2023-09-01,0.867087431969237,1.01285447805286,1.17411181651387,2023-09-01
"33","Solano",2023-09-02,0.85125801030121,0.995328582506512,1.15480711650617,2023-09-02
"34","Solano",2023-09-03,0.829096668921434,0.9711364948178,1.12854371821895,2023-09-03
"35","Solano",2023-09-04,0.764776279406425,0.901351229853432,1.05329526710635,2023-09-04
"36","Solano",2023-09-05,0.80082693757146,0.940823706550847,1.09625976147634,2023-09-05
"37","Solano",2023-09-06,0.810721709046536,0.952253386478009,1.10937328784061,2023-09-06
"38","Solano",2023-09-07,0.817607210259517,0.960381124104947,1.11888427833882,2023-09-07
