County,res,epoch
San Mateo,0,47
Santa Clara,0,47
Sacramento,1,47
San Francisco,1,37
Imperial,2,28
Contra Costa,1,47
Alameda,1,47
Fresno,1,45
Kern,3,32
Humboldt,4,3
Kings,3,27
Lake,4,45
San Luis Obispo,2,2
Santa Barbara,4,6
Sonoma,2,46
Napa,6,46
San Benito,6,46
Santa Cruz,6,46
Monterey,5,38
Orange,6,35
Riverside,3,30
Solano,3,46
San Bernardino,6,46
Madera,1,25
Los Angeles,2,46
Merced,2,47
Stanislaus,2,47
Yolo,2,47
Marin,0,47
San Diego,6,46
Butte,4,5
