Date,Q0.025,Q0.5,Q0.975
2023-07-19,0.9939167132375196,1.03929587347421,1.0859219782686302
2023-07-20,0.9947727158830479,1.039804415745797,1.0862420272544306
2023-07-21,0.9967841051879633,1.0415229573651295,1.0874992800850198
2023-07-22,0.999027578373022,1.0437037485122058,1.0898604727585908
2023-07-23,1.0024646989736086,1.0469989481007336,1.0927957363437995
2023-07-24,1.007824138577356,1.0522587282951341,1.0976607823012414
2023-07-25,1.015084047822358,1.059260938302355,1.1049774266486982
2023-07-26,1.0400793872384906,1.0828980467061744,1.1268761043961875
2023-07-27,1.0392217675632829,1.0814614783476224,1.1246152547709665
2023-07-28,1.0379449246202381,1.0796509694360565,1.1224737685504902
2023-07-29,1.037852680536553,1.079250167748969,1.1217708417877175
2023-07-30,1.0388776401469877,1.0798493445973336,1.1216414117595699
2023-07-31,1.0383114702530973,1.0791511829766782,1.1209015830173215
2023-08-01,1.037879587264473,1.078118741551574,1.11932826931318
2023-08-02,1.0502837572507322,1.090288095121796,1.131461452295476
2023-08-03,1.045710760833903,1.0852588142725121,1.1258239607850493
2023-08-04,1.0396258565803418,1.0785681402024472,1.1184163611140745
2023-08-05,1.0320351782296777,1.070365212687248,1.1095810765926482
2023-08-06,1.0254104146124043,1.063193618070554,1.10215548817825
2023-08-07,1.022287168423749,1.0598445310408853,1.098261743420449
2023-08-08,1.0221469407880277,1.059372391554792,1.097485986985674
2023-08-09,1.0489080309192746,1.0870701874865156,1.1261469457885631
2023-08-10,1.0473377979241854,1.0850260384010424,1.1236380480033845
2023-08-11,1.0474117907635303,1.0845448102908966,1.1225127387475755
2023-08-12,1.0485770593004202,1.0854595895140446,1.1231762419033957
2023-08-13,1.0494842772532287,1.0860574697621503,1.1234079318598544
2023-08-14,1.0470796053412224,1.0831038955622678,1.1199442822504178
2023-08-15,1.0380946573051584,1.0737035746027601,1.1103488672850381
2023-08-16,1.0207102665006755,1.0567761041494133,1.0935729752116106
2023-08-17,1.009956250470359,1.045615117300557,1.0821274484264578
2023-08-18,0.9952136525737085,1.0302541492330826,1.0661126830504881
2023-08-19,0.9738100713857487,1.008356296707242,1.0436814610598297
2023-08-20,0.944938467216847,0.9788254647308597,1.0135528302992878
2023-08-21,0.915086596425296,0.948479280844172,0.9827574104725973
2023-08-22,0.8871007948871764,0.9199260125575748,0.9536619831642523
2023-08-23,0.853870187898663,0.8876217333529561,0.9222301021161747
2023-08-24,0.8537742741525995,0.8879489409892821,0.9230386391852695
2023-08-25,0.8538395106659247,0.8885812579189943,0.9242348701879137
2023-08-26,0.8551091651961185,0.8904477428889799,0.9267765617451451
2023-08-27,0.8594233831428904,0.8952912512119099,0.9322222864987512
2023-08-28,0.8656793058580423,0.9023355923149604,0.9400379971300016
2023-08-29,0.8742717287620874,0.9115302039295892,0.9499687349141009
2023-08-30,0.8910380796997828,0.9282652618006371,0.9665151833901449
2023-08-31,0.8932313777228641,0.9308562827331489,0.9694360473415324
2023-09-01,0.8975031553294555,0.9356717752040489,0.9746666013525347
2023-09-02,0.90402655670933,0.942488831850689,0.9821168691830153
2023-09-03,0.9124912655476296,0.9515130994998542,0.9915663456896697
2023-09-04,0.9219305822992954,0.9613042307367718,1.0018429168484158
2023-09-05,0.930998174329243,0.9708257276000858,1.0120231982788357
2023-09-06,0.9385939218474283,0.9790670059983135,1.020585468335909
2023-09-07,0.9435010301109543,0.984076436316647,1.0259725165263514
2023-09-08,0.9481067839221794,0.9891191943170545,1.0310601953008487
2023-09-09,0.9533702954427,0.9944633649632582,1.0368153023097246
2023-09-10,0.9605404815497621,1.0018378449823053,1.044302302846447
2023-09-11,0.9676059654674245,1.0091127707223935,1.0517899496245955
2023-09-12,0.9750330175296947,1.0167805946402937,1.059525797225087
2023-09-13,0.9797664176407761,1.0214119266506398,1.0642211659625236
2023-09-14,0.9810661540692658,1.0226846497995208,1.0655216961343008
2023-09-15,0.9793445581059009,1.0210360058250347,1.0637703665398568
2023-09-16,0.9754887806827874,1.0168878968549202,1.0593493789181632
2023-09-17,0.9697852501248658,1.0110563189782389,1.0534820628707942
2023-09-18,0.963265560901035,1.004185105466775,1.0463548900285984
2023-09-19,0.9566134110605569,0.9971542727970196,1.039085445687875
2023-09-20,0.9505571819103034,0.9908873035395549,1.0326169925481077
2023-09-21,0.9442245349610426,0.9847037449757978,1.0261431060500288
2023-09-22,0.9394760523847192,0.9797566041287813,1.0210365908883472
2023-09-23,0.9359879493420321,0.9763081176090496,1.0178567500245435
2023-09-24,0.933371174287156,0.973708962589855,1.0153174499718316
2023-09-25,0.9313967732588538,0.9719000463519234,1.0133095570050137
