Date,Q0.025,Q0.5,Q0.975
2022-12-07,0.9373337359535112,0.9965090325688617,1.0584733475693358
2022-12-08,0.9376071823378047,0.9968289992003865,1.0585760905095658
2022-12-09,0.9391247754391479,0.998850486589019,1.0610246157687186
2022-12-10,0.9423650128655106,1.0018649687430297,1.063770035336053
2022-12-11,0.9460959821905299,1.0061247879663608,1.0686272884631798
2022-12-12,0.9495684255745604,1.0099698767286132,1.0723685077158756
2022-12-13,0.9520827584485936,1.0121435541173072,1.0754697731102991
2022-12-14,0.9561458363904923,1.0172589366440477,1.0811476996323477
2022-12-15,0.954409774720007,1.0153553614269002,1.078997256978775
2022-12-16,0.9516134468892734,1.0123783209523525,1.075857161185089
2022-12-17,0.9502581508553527,1.0109292665517342,1.0741571224399151
2022-12-18,0.9485917151126648,1.0088837196832685,1.0718720820677614
2022-12-19,0.9457102812999948,1.0060772271638678,1.0687061417892352
2022-12-20,0.9408931422456166,1.0012182091233948,1.0643367397544903
2022-12-21,0.9297779730709403,0.9909260519201442,1.0548445580619692
2022-12-22,0.9283611454122767,0.9898324282930846,1.0539110868454802
2022-12-23,0.9261819327677714,0.9871756111409946,1.0515147898434178
2022-12-24,0.9235835490581588,0.9850306732264109,1.0489850243337324
2022-12-25,0.9219263380118483,0.9832019259698044,1.0473629594942007
2022-12-26,0.9212298116848442,0.9823857032657614,1.046555921775819
2022-12-27,0.9220502916695703,0.9836366543558455,1.0478007893716192
2022-12-28,0.9257483767488459,0.9896904209929334,1.0562552790086817
2022-12-29,0.9273497129790786,0.9913923781198775,1.0581209515103862
2022-12-30,0.9304634548518851,0.9943860357712259,1.0609443533636704
2022-12-31,0.9339029924626687,0.9981546567257715,1.0654370171798717
2023-01-01,0.9388373562912569,1.0033973749976417,1.0709873194860642
2023-01-02,0.9423884576325697,1.0071311214488619,1.0747317152566929
2023-01-03,0.94425428465918,1.009160095328351,1.0768373421534807
2023-01-04,0.9393381087740482,1.003589405310445,1.0706782193430626
2023-01-05,0.9366846235752286,1.000667819321348,1.0671090390218234
2023-01-06,0.9309652095999483,0.9949525741553154,1.0614868447847838
2023-01-07,0.9220337413231505,0.9857295872520059,1.0520125307467803
2023-01-08,0.9105067394451527,0.9736091348122908,1.0397880925288852
2023-01-09,0.8995109175733231,0.9622631227946643,1.0283793302398654
2023-01-10,0.8905472874560192,0.9537303806247164,1.0195477756046514
