Date,total_tests,cases,pos_rate,SC2_N_gc_g_dry_weight,PMMoV_gc_g_dry_weight,SC2_N_norm_PMMoV,County
2022-11-25,1232.0,139.0,0.11282467532467533,681806.051,727000000.0,0.0009378350082530949,San Mateo
2022-11-26,1200.0,183.0,0.1525,510305.846,862000000.0,0.0005920021415313226,San Mateo
2022-11-27,931.0,151.0,0.16219119226638024,850515.694,1060000000.0,0.0008023732962264151,San Mateo
2022-11-28,3201.0,375.0,0.11715089034676664,1321086.49,1060000000.0,0.0012463080094339623,San Mateo
2022-11-29,2820.0,269.0,0.09539007092198581,615135.291,685000000.0,0.0008980077240875912,San Mateo
2022-11-30,2136.0,230.0,0.10767790262172285,1002391.74,863000000.0,0.001161519976825029,San Mateo
2022-12-01,1955.0,212.0,0.10843989769820972,471875.264,910000000.0,0.0005185442461538461,San Mateo
2022-12-02,1966.0,201.0,0.10223804679552391,1480102.85,897000000.0,0.0016500589186176143,San Mateo
2022-12-03,962.0,132.0,0.13721413721413722,782193.163,4720000000.0,0.00016571889046610168,San Mateo
2022-12-04,799.0,123.0,0.1539424280350438,735904.34,951000000.0,0.0007738215983175604,San Mateo
2022-12-05,2997.0,259.0,0.08641975308641975,678584.072,1720000000.0,0.000394525623255814,San Mateo
2022-12-06,2521.0,227.0,0.09004363347877826,691856.769,788000000.0,0.0008779908236040609,San Mateo
2022-12-07,2059.0,231.0,0.11219038368139873,415312.013,905000000.0,0.0004589083016574585,San Mateo
2022-12-08,1890.0,185.0,0.09788359788359788,499068.653,719000000.0,0.0006941149554937413,San Mateo
2022-12-09,1996.0,202.0,0.10120240480961924,385437.245,1090000000.0,0.0003536121513761468,San Mateo
2022-12-10,1000.0,117.0,0.117,665140.788,1320000000.0,0.0005038945363636363,San Mateo
2022-12-11,765.0,116.0,0.15163398692810456,385784.534,1300000000.0,0.0002967573338461538,San Mateo
2022-12-12,2299.0,241.0,0.10482818616789909,982200.6860000001,867000000.0,0.00113287276355248,San Mateo
2022-12-13,2467.0,219.0,0.08877178759627077,698967.683,1160000000.0,0.000602558347413793,San Mateo
2022-12-14,1962.0,158.0,0.08053007135575943,513126.991,1210000000.0,0.00042407189338842974,San Mateo
2022-12-15,1887.0,170.0,0.09009009009009009,1314673.42,1080000000.0,0.0012172902037037036,San Mateo
2022-12-16,1715.0,150.0,0.08746355685131195,925345.271,1060000000.0,0.0008729672367924528,San Mateo
2022-12-17,861.0,113.0,0.13124274099883856,924634.126,2210000000.0,0.0004183864823529412,San Mateo
2022-12-18,699.0,79.0,0.11301859799713877,330300.816,1120000000.0,0.00029491144285714285,San Mateo
2022-12-19,2307.0,236.0,0.1022973558734287,365375.2339,845000000.0,0.0004323967265088757,San Mateo
2022-12-20,2110.0,212.0,0.1004739336492891,389241.7,694000000.0,0.0005608670028818444,San Mateo
2022-12-21,1657.0,158.0,0.09535304767652383,373917.622,776000000.0,0.00048185260567010305,San Mateo
2022-12-22,1654.0,190.0,0.11487303506650544,301575.268,1090000000.0,0.0002766745577981651,San Mateo
2022-12-23,1419.0,156.0,0.10993657505285412,251474.636,668000000.0,0.0003764590359281437,San Mateo
2022-12-24,694.0,67.0,0.09654178674351585,407895.503,1350000000.0,0.00030214481703703705,San Mateo
2022-12-25,363.0,43.0,0.1184573002754821,1466501.17,3110000000.0,0.00047154378456591635,San Mateo
2022-12-26,1100.0,126.0,0.11454545454545455,565407.585,5410000000.0,0.0001045115683918669,San Mateo
2022-12-27,1923.0,234.0,0.12168486739469579,321361.217,749000000.0,0.00042905369425901203,San Mateo
2022-12-28,1502.0,180.0,0.11984021304926765,576733.152,900000000.0,0.0006408146133333333,San Mateo
2022-12-29,1351.0,154.0,0.11398963730569948,626407.437,843000000.0,0.0007430693202846976,San Mateo
2022-12-30,1259.0,123.0,0.0976965845909452,894055.0,923000000.0,0.0009686403033586132,San Mateo
