Plant,Date,SC2_N_gc_g_dry_weight,PMMoV_gc_g_dry_weight,Population_Served,County,zipcode,pcr_gene_target,index,SC2_N_norm_PMMoV,City,County_FIPS
PA_ALL,2022-12-03,782193.163,4720000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-12-04,735904.34,951000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-12-05,678584.072,1720000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-12-06,691856.769,788000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-12-07,415312.013,905000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-12-08,499068.653,719000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-12-09,385437.245,1090000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-12-10,665140.788,1320000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-12-11,385784.534,1300000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-12-12,982200.6860000001,867000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-12-13,698967.683,1160000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-12-14,513126.991,1210000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-12-15,1314673.42,1080000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-12-16,925345.271,1060000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-12-17,924634.126,2210000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-12-18,330300.816,1120000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-12-19,365375.2339,845000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-12-20,389241.7,694000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-12-21,373917.622,776000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-12-22,301575.268,1090000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-12-23,251474.636,668000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-12-24,407895.503,1350000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-12-25,1466501.17,3110000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-12-26,565407.585,5410000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-12-27,321361.217,749000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-12-28,576733.152,900000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-12-29,626407.437,843000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-12-30,894055.0,923000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-12-31,311231.774,1020000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-01-01,289402.331,949000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-01-02,313316.066,829000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-01-03,217144.322,771000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-01-04,274475.587,910000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-01-05,639406.408,1150000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-01-06,916576.256,927000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-01-07,206027.652,607000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-01-08,475786.114,539000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-01-09,374522.646,880000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-01-10,230971.282,814000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-01-11,236382.715,1040000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-01-12,148409.573,878000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-01-13,74562.7191,577000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-01-14,312619.601,796000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-01-15,107652.881,867000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-01-16,218513.046,698000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-01-17,153843.452,1060000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-01-18,89014.3781,749000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-01-19,115148.157,978000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-01-20,99624.762,805000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-01-22,103932.205,4490000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-01-23,94334.8437,684000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-01-24,124280.091,932000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-01-25,302065.898,1140000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-01-26,225153.813,1580000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-01-27,208251.101,671000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-01-28,316098.894,947000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-01-29,142061.771,1030000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-01-30,207618.672,1590000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-01-31,174953.143,1350000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-02-01,171245.9,916000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-02-02,829079.787,908000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-02-03,349832.735,1110000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-02-04,238598.8,851000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-02-05,848635.268,1450000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-02-06,169551.466,1080000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-02-07,664814.496,1060000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-02-08,159194.476,1020000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-02-09,170063.542,821000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-02-10,177167.342,1430000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-02-11,364137.931,1540000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-02-12,176876.951,1260000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-02-13,203838.984,1050000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-02-14,152495.973,1260000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-02-15,335976.982,1480000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-02-16,245018.441,1920000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-02-17,533333.333,1690000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-02-18,1214143.95,802000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-02-19,1387731.049405795,1132182617.04348,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-02-20,206341.772684685,1071747255.35135,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-02-21,266762.46064042,1775653092.28346,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-02-22,589401.399272727,1025944668.01347,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-02-23,236014.684066667,915233358.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-02-24,116464.587801418,509449713.929078,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-02-25,616029.91744,3322023763.2,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-02-26,342256.624761905,714491024.965079,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-02-27,405736.212627451,1689323395.29412,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-02-28,444574.88131401,1424666341.25604,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-03-01,445686.459214953,1643784072.77259,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-03-02,215000.0,1125000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-03-03,208607.073684211,1108864079.3985,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-03-04,154657.539310345,1639586279.54023,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-03-05,294837.980873563,1016886767.20307,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-03-06,414273.536091954,1936060411.95402,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-03-07,517347.41602589,1260716508.99676,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-03-08,632771.889973753,1423443394.85564,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2023-03-09,236685.200101911,1066924387.60085,236000,San Mateo,94303.0,N,,,Palo Alto,
