"","County","Date","Q0.025","Q0.5","Q0.975","Date_per"
"1","Santa Barbara",2024-07-16,1.0558813994731,1.19272566248723,1.34091294344616,2024-07-23
"2","Santa Barbara",2024-07-17,1.0589121767929,1.19414781840262,1.34043608934108,2024-07-24
"3","Santa Barbara",2024-07-18,1.06113771499805,1.19470911793727,1.33904626765159,2024-07-25
"4","Santa Barbara",2024-07-19,1.06261846740275,1.19448485772486,1.33683503677708,2024-07-26
"5","Santa Barbara",2024-07-20,1.06342135953521,1.19355593308539,1.33389845224055,2024-07-27
"6","Santa Barbara",2024-07-21,1.06361547038892,1.1920041864286,1.33033208687192,2024-07-28
"7","Santa Barbara",2024-07-22,1.06326783017958,1.18990795523925,1.3262263416108,2024-07-29
"8","Santa Barbara",2024-07-23,1.06243951317359,1.18733799930596,1.32166222596128,2024-07-30
"9","Santa Barbara",2024-07-24,1.06118218373494,1.18435396306692,1.31670775999503,2024-07-31
"10","Santa Barbara",2024-07-25,1.05953523140998,1.18100150409584,1.31141512253483,2024-08-01
"11","Santa Barbara",2024-07-26,1.05752360711698,1.17731019310284,1.30581864275882,2024-08-02
"12","Santa Barbara",2024-07-27,1.0551564477826,1.17329226469865,1.29993370511546,2024-08-03
"13","Santa Barbara",2024-07-28,1.05242655087488,1.16894227121586,1.29375660960668,2024-08-04
"14","Santa Barbara",2024-07-29,1.04931073230731,1.16423766303771,1.28726539996646,2024-08-05
"15","Santa Barbara",2024-07-30,1.04577106961213,1.15914028652044,1.28042163928292,2024-08-06
"16","Santa Barbara",2024-07-31,1.04175699657173,1.15359875417344,1.2731730756451,2024-08-07
"17","Santa Barbara",2024-08-01,1.0372081763964,1.14755160211937,1.26545710037473,2024-08-08
"18","Santa Barbara",2024-08-02,1.03205803881724,1.14093110785957,1.25720485929171,2024-08-09
"19","Santa Barbara",2024-08-03,1.02623782498577,1.13366760004622,1.24834583645361,2024-08-10
"20","Santa Barbara",2024-08-04,1.01968094611883,1.12569405471932,1.23881269343565,2024-08-11
"21","Santa Barbara",2024-08-05,1.01232743205985,1.11695074407537,1.22854612035558,2024-08-12
"22","Santa Barbara",2024-08-06,1.00412822854422,1.10738968850374,1.21749944170597,2024-08-13
"23","Santa Barbara",2024-08-07,0.995049100523689,1.09697866383343,1.20564272401398,2024-08-14
"24","Santa Barbara",2024-08-08,0.985073915514404,1.08570453538694,1.1929661551241,2024-08-15
"25","Santa Barbara",2024-08-09,0.974207115582628,1.07357572827378,1.17948250595642,2024-08-16
"26","Santa Barbara",2024-08-10,0.96247523700334,1.06062369680398,1.1652285420591,2024-08-17
"27","Santa Barbara",2024-08-11,0.949927398461555,1.04690332031231,1.15026531920679,2024-08-18
"28","Santa Barbara",2024-08-12,0.936634746058579,1.03249222196242,1.13467736837422,2024-08-19
"29","Santa Barbara",2024-08-13,0.92268890982602,1.01748907459317,1.11857084384449,2024-08-20
"30","Santa Barbara",2024-08-14,0.908199585726286,1.0020110171276,1.10207076772345,2024-08-21
"31","Santa Barbara",2024-08-15,0.893291404162003,0.986190351492534,1.08531754981401,2024-08-22
"32","Santa Barbara",2024-08-16,0.878100277508882,0.970170720236277,1.06846299067232,2024-08-23
"33","Santa Barbara",2024-08-17,0.862769433821946,0.954102977993948,1.05166598685849,2024-08-24
"34","Santa Barbara",2024-08-18,0.847445342280983,0.938140966511772,1.03508815203147,2024-08-25
"35","Santa Barbara",2024-08-19,0.832273720369277,0.92243738555921,1.01888954830327,2024-08-26
"36","Santa Barbara",2024-08-20,0.817395786534125,0.907139924233302,1.00322469285479,2024-08-27
"37","Santa Barbara",2024-08-21,0.802944889002497,0.892387782871089,0.988238969331659,2024-08-28
"38","Santa Barbara",2024-08-22,0.789043605342128,0.878308678929367,0.974065535953074,2024-08-29
"39","Santa Barbara",2024-08-23,0.775801371458206,0.865016393962327,0.960822785773607,2024-08-30
"40","Santa Barbara",2024-08-24,0.763312666235724,0.852608886460569,0.948612382364998,2024-08-31
