"","County","Date","Q0.025","Q0.5","Q0.975","Date_per"
"1","Marin",2023-08-01,0.861032830259269,1.09293136091158,1.36315936688879,2023-08-01
"2","Marin",2023-08-02,0.840638134622413,1.06888018478541,1.33512974684964,2023-08-02
"3","Marin",2023-08-03,0.8415506384005,1.0687133823435,1.33350104732836,2023-08-03
"4","Marin",2023-08-04,0.866362423335706,1.09560114552417,1.36211480768855,2023-08-04
"5","Marin",2023-08-05,0.826841274982325,1.04986219505265,1.30979585224861,2023-08-05
"6","Marin",2023-08-06,0.818116597230707,1.03881489510762,1.29604619268873,2023-08-06
"7","Marin",2023-08-07,0.803977044246253,1.02197197940696,1.27622303440168,2023-08-07
"8","Marin",2023-08-08,0.795751210433902,1.01206517797026,1.2644402386339,2023-08-08
"9","Marin",2023-08-09,0.825827303041021,1.04565548155427,1.30142722781794,2023-08-09
"10","Marin",2023-08-10,0.834217373904837,1.05480386265435,1.3112363712133,2023-08-10
"11","Marin",2023-08-11,0.833257247362707,1.05317842708127,1.30877579661928,2023-08-11
"12","Marin",2023-08-12,0.849573521495053,1.07085752338531,1.32760258421924,2023-08-12
"13","Marin",2023-08-13,0.845227066293065,1.0651760582493,1.32034209897276,2023-08-13
"14","Marin",2023-08-14,0.848063651498893,1.06743870784442,1.32174551731524,2023-08-14
"15","Marin",2023-08-15,0.86236186610766,1.08255134232134,1.33738205551833,2023-08-15
"16","Marin",2023-08-16,0.862349927800273,1.0815156265544,1.33501329177529,2023-08-16
"17","Marin",2023-08-17,0.854824979238236,1.07192737093476,1.32301662010314,2023-08-17
"18","Marin",2023-08-18,0.839694301235769,1.05379650704105,1.30153865562287,2023-08-18
"19","Marin",2023-08-19,0.829453912413215,1.04127369309545,1.28642273375003,2023-08-19
"20","Marin",2023-08-20,0.84959555952108,1.06304473208908,1.30957474300962,2023-08-20
"21","Marin",2023-08-21,0.852809046373744,1.06591316220971,1.31187974241502,2023-08-21
"22","Marin",2023-08-22,0.860517731749249,1.07369870258221,1.31949137738742,2023-08-22
"23","Marin",2023-08-23,0.865681242556928,1.07854206671498,1.32373996417435,2023-08-23
"24","Marin",2023-08-24,0.86979003964193,1.08210773896224,1.32646219518026,2023-08-24
"25","Marin",2023-08-25,0.89790696204351,1.11238712949598,1.3585841056145,2023-08-25
"26","Marin",2023-08-26,0.898222842725678,1.1114844721622,1.35610557239575,2023-08-26
"27","Marin",2023-08-27,0.879805512622304,1.08946426736342,1.3300585007735,2023-08-27
"28","Marin",2023-08-28,0.96374059791395,1.18126347382308,1.42929714741245,2023-08-28
"29","Marin",2023-08-29,0.9240860287616,1.13558778205807,1.3771446976828,2023-08-29
"30","Marin",2023-08-30,0.860555598490582,1.0628348819939,1.29458205347628,2023-08-30
"31","Marin",2023-08-31,0.828048172595016,1.02486019015938,1.25064183427181,2023-08-31
"32","Marin",2023-09-01,0.77135867891042,0.960502248443286,1.17830600542923,2023-09-01
"33","Marin",2023-09-02,0.769229507591977,0.957695172390801,1.17469637813325,2023-09-02
"34","Marin",2023-09-03,0.737485588055583,0.922358303037315,1.13582411818355,2023-09-03
"35","Marin",2023-09-04,0.600116731987469,0.768047239191156,0.964731045270606,2023-09-04
