"","County","Date","Q0.025","Q0.5","Q0.975","Date_per"
"1","San Luis Obispo",2024-07-16,1.28625153956675,1.40942148556211,1.54021470583198,2024-07-23
"2","San Luis Obispo",2024-07-17,1.34515237026245,1.46819881045531,1.5985299146917,2024-07-24
"3","San Luis Obispo",2024-07-18,1.40159741792775,1.52387553244964,1.65306712067632,2024-07-25
"4","San Luis Obispo",2024-07-19,1.45134430186647,1.57206641364416,1.69930455084408,2024-07-26
"5","San Luis Obispo",2024-07-20,1.49029509454691,1.60860307125502,1.73301283713337,2024-07-27
"6","San Luis Obispo",2024-07-21,1.51501814552967,1.63006575674326,1.75079553555652,2024-07-28
"7","San Luis Obispo",2024-07-22,1.5231913256295,1.63422229468074,1.75052229761335,2024-07-29
"8","San Luis Obispo",2024-07-23,1.51385813317053,1.62026697731947,1.73154917308028,2024-07-30
"9","San Luis Obispo",2024-07-24,1.48744630899306,1.58881414183436,1.69468612805677,2024-07-31
"10","San Luis Obispo",2024-07-25,1.44557081924422,1.54167485197063,1.64194689988495,2024-08-01
"11","San Luis Obispo",2024-07-26,1.39069669854384,1.48149772570088,1.57616776217664,2024-08-02
"12","San Luis Obispo",2024-07-27,1.32575490568934,1.41137009569246,1.50059429656391,2024-08-03
"13","San Luis Obispo",2024-07-28,1.25378950502229,1.33445821366325,1.41851511820987,2024-08-04
"14","San Luis Obispo",2024-07-29,1.17768316721656,1.25373208009112,1.33298658176383,2024-08-05
"15","San Luis Obispo",2024-07-30,1.09997652683021,1.17178829114712,1.24665961858046,2024-08-06
"16","San Luis Obispo",2024-07-31,1.02277470966963,1.09076216668124,1.1616978729016,2024-08-07
"17","San Luis Obispo",2024-08-01,0.947723156940324,1.01230975315125,1.07976618750772,2024-08-08
"18","San Luis Obispo",2024-08-02,0.876032081579367,0.937638101951234,1.00206691545367,2024-08-09
"19","San Luis Obispo",2024-08-03,0.808530766172493,0.867564590147528,0.929404402528319,2024-08-10
"20","San Luis Obispo",2024-08-04,0.745736568616083,0.802590035361597,0.862262298743629,2024-08-11
"21","San Luis Obispo",2024-08-05,0.687927368611586,0.742974402454293,0.800882578948545,2024-08-12
"22","San Luis Obispo",2024-08-06,0.635209668079094,0.688807452828137,0.745338774406523,2024-08-13
"23","San Luis Obispo",2024-08-07,0.587577528940442,0.640069667820838,0.695598903450505,2024-08-14
"24","San Luis Obispo",2024-08-08,0.544959998927399,0.596681223790011,0.651576010151561,2024-08-15
"25","San Luis Obispo",2024-08-09,0.507256636359121,0.558538723066162,0.613166109081087,2024-08-16
"26","San Luis Obispo",2024-08-10,0.474362172383529,0.52554077504047,0.58027468348903,2024-08-17
"27","San Luis Obispo",2024-08-11,0.446182223976041,0.497604357893092,0.552833678619667,2024-08-18
"28","San Luis Obispo",2024-08-12,0.422642300185284,0.474674180257014,0.530811176902758,2024-08-19
"29","San Luis Obispo",2024-08-13,0.403692168498926,0.45672704195738,0.514215673545354,2024-08-20
"30","San Luis Obispo",2024-08-14,0.389307043185563,0.44377253702833,0.503096160676579,2024-08-21
"31","San Luis Obispo",2024-08-15,0.379486133433941,0.435850460711001,0.497538186249929,2024-08-22
"32","San Luis Obispo",2024-08-16,0.374247993606831,0.433024127781938,0.497654839330196,2024-08-23
"33","San Luis Obispo",2024-08-17,0.373621039595171,0.435367685785583,0.50357044626496,2024-08-24
